structure,gap_class,band_gap,stability,coverage_score,mlip_stability
Cs3YCuI7Cl2,0.8800000000000001,1.3091433,-0.0471137568781063,0.305,0.0300205402843193
Cs3YFe(Br2Cl)3,0.76,1.2236141,-0.028528143019505,0.26,0.006278548598673
Cs3YFeBr4Cl5,0.76,1.3025407,-0.0207448247180148,0.26,0.0065098647758292
Cs3YFeBr5Cl4,0.76,1.1840775,-0.0229589138638039,0.26,0.0106898593147725
Cs3YGe(I2Br)3,0.8400000000000001,1.7985039,-0.037059304819383,0.26,0.0156891786546373
Cs3YGe(IBr2)3,0.92,1.8099905,-0.0297372240490294,0.26,0.0128704196765187
Cs3YGeI4Br5,0.92,1.8395469,-0.0263797539887038,0.26,0.0097941800484044
Cs3YGeI5Br4,0.8,1.697731,-0.0202537355822509,0.26,0.0161206610918572
Cs3YInBr8Cl,0.8800000000000001,2.7334113,-0.0235597305008132,0.32,-0.0081735829050351
Cs3YMn(Br2Cl)3,0.8400000000000001,1.7149801,-0.02423616018978,0.32,0.0048711168235003
Cs3YMn(BrCl2)3,0.68,1.8401635,-0.0188343876274901,0.32,0.0109249053061243
Cs3YMn(I2Br)3,0.8,1.5413562,-0.0505969043178058,0.32,0.0162774997598962
Cs3YMn(I2Cl)3,0.72,1.5394887,-0.0224226316143032,0.32,0.0252494331467839
Cs3YMn(IBr2)3,0.64,1.5276998,-0.0375188906576853,0.32,0.0183640440116569
Cs3YMnBr2Cl7,0.76,1.7816858,-0.0102444482174623,0.32,0.0075787088985483
Cs3YMnBr4Cl5,0.7200000000000001,1.9823395,-0.0209341955349953,0.32,0.0069176180129977
Cs3YMnBr5Cl4,0.76,2.0693958,-0.0250629420494838,0.32,0.0063813955156986
Cs3YMnI2Br7,0.8400000000000001,1.8764021,-0.0349410806566314,0.32,0.0134967082837836
Cs3YMnI4Br5,0.8400000000000001,1.5381529,-0.0395822656471176,0.32,0.0207476707979439
Cs3YMnI5Br4,0.8,1.4879879,-0.0450961993524781,0.32,0.0119802493718139
Cs3YMnI7Br2,0.8,1.4870617,-0.0590575634024046,0.32,0.0205227600951647
Cs3YMnI7Cl2,0.8,1.4462881,-0.0399648175585118,0.32,0.0258542790579472
Cs3YNi(I2Br)3,0.8,1.2152283,-0.0422048270513819,0.32,0.028884108667597
Cs3YNi(IBr2)3,0.8,1.0413411,-0.0178864048784002,0.32,0.0219239052062196
Cs3YNiI4Br5,0.8,1.0459164,-0.0192765867456259,0.32,0.0210211982623991
Cs3YNiI5Br4,0.76,1.1164805,-0.0178932959873805,0.32,0.0284072656913467
Cs3YNiI7Br2,0.92,1.1295182,-0.0494589458036829,0.32,0.0301912235802292
Cs3ZnFeBr7Cl2,0.72,0.9744973,-0.00701698914107,0.26,0.0388178435506812
Cs4Rb2Ca(InBr6)3,0.5599999999999999,1.8685783,-0.0219385942177618,0.38,0.0085884137659566
Cs4Rb2In(CuBr6)3,0.5199999999999999,0.9154688,-0.0265481804826503,0.365,0.016674799562641
Cs4Rb2In3GeBr18,0.8799999999999999,1.747771,-0.0202782040955107,0.44,0.0013011531330007
Cs4Rb2In3SbBr18,0.8800000000000001,1.7820275,-0.0087610307323522,0.44,-0.0024002382685689
Cs4Rb2In3SnBr18,0.8400000000000001,1.6248386,-0.007335658944392,0.5,0.0022230272429426
Cs4Rb2Sc3SbBr18,0.92,2.710664,-0.0186230285721784,0.365,-0.0123426176908316
Cs4Rb2Sr(InBr6)3,0.68,1.8305748,-0.0183236831605455,0.32,0.0096260208446191
Cs6Ba(InBr6)3,0.7200000000000001,1.9054878,-0.0404834137175522,0.325,0.0065357950840046
Cs6Ca(InBr6)3,0.72,1.9903542,-0.0489477640017923,1.0,0.0047006346855699
Cs6Ca3Cr(Br8Cl)2,0.8400000000000001,2.4119215,-0.0194596442148131,0.29,-0.0046122199529875
Cs6Ca3Sc(Br7Cl2)2,0.72,3.2694087,-0.0218743206255105,0.3349999999999999,0.0447354788413053
Cs6Ca3Y(I4Br5)2,0.6,2.9638581,-0.0247078124004254,0.29,0.0406849291272233
Cs6Ca3Y(IBr2)6,0.64,3.124635,-0.0164275267241016,0.29,0.0405196768268659
Cs6CaIn3(Br8Cl)2,0.76,2.0503972,-0.041300015985608,0.365,0.013763053181085
Cs6Co(CuBr6)3,0.64,0.78144383,-0.0220849366096689,1.0,0.0116545214594579
Cs6Co3AgBr18,0.68,0.82146627,-0.0084442213774913,0.925,0.0117738158083237
Cs6Co3CuBr18,0.6799999999999999,0.7706634,-0.0169982060448301,1.0,0.0148328473921081
Cs6CoNi3(Br7Cl2)2,0.8400000000000001,0.8549307,-0.0101727451757669,0.365,0.0281140697976441
Cs6Cr(GeBr6)3,0.92,1.5437326,-0.0230255331893585,0.325,-0.0139846307084323
Cs6CrGe3(Br8Cl)2,0.92,1.530184,-0.0134483488897825,0.3349999999999999,-0.0021452995103211
Cs6Cu(NiBr6)3,0.8,0.763003,-0.0396047881336276,0.925,0.0112838967043726
Cs6CuNi3(Br7Cl2)2,0.8400000000000001,0.79655993,-0.0205745518776772,0.425,0.0204129312189266
Cs6Fe(CuBr6)3,0.6,0.79222435,-0.0471719231548626,1.0,0.007640139662747
Cs6Fe3Ag(Br2Cl)6,0.92,0.8263422,-0.0199210195561261,0.38,0.0093779888789217
Cs6Fe3AgBr18,0.64,0.80137634,-0.0712135610751214,1.0,-0.001983105053643
Cs6Fe3Co(Br2Cl)6,0.92,0.8414326,-0.0094930808319548,0.26,0.0171705389377733
Cs6Fe3Cu(Br2Cl)6,0.92,0.7860807,-0.0289651849924883,0.44,0.0100206254121505
Cs6Fe3Cu(Br5Cl4)2,0.8799999999999999,0.78669804,-0.0165508142161632,0.44,0.0128143444598939
Cs6Fe3CuBr18,0.64,0.7699211,-0.0753273850389544,1.0,0.0025331887663559
Cs6Fe3Ge(Br2Cl)6,0.8400000000000001,0.8907342,-0.0180333955198037,0.3349999999999999,0.0156643706288852
Cs6Fe3Ge(Br7Cl2)2,0.64,0.8858302,-0.0334443978699561,0.3349999999999999,0.0155783253260787
Cs6Fe3Ni(Br2Cl)6,0.8,0.81893826,-0.0215883375518524,0.38,0.0204608419978959
Cs6Fe3PbBr18,0.6,0.8074425,-0.0644421698229276,0.325,0.0066791447690172
Cs6Fe3Sb(Br2Cl)6,0.6799999999999999,0.90556383,-0.0202297961027346,0.305,0.0171770265585574
Cs6Fe3Sn(Br7Cl2)2,0.6799999999999999,0.98501027,-0.0144331395053101,0.365,0.0156942976944629
Cs6Fe3SnBr18,0.5599999999999999,0.92630434,-0.0367292818601412,0.925,0.0008725192443533
